Job,Style,Type,TransportID,Status,Supplier,Importer,MRN,Load,Discharge,ETA,Transit,Carrier
B00038247,H1,IMZ,R4578BDB/0271LKT,PHY,"EXPORTACIONES ARANDA, S.L.",GLOBAL PACIFIC PROCESSORS UK LTD (DSB),MEFSWLHOU0000000320354 24GB2EE7PS1VBRWAR3 4GB849450791000-B00048677 ,FRCQF,GBDVR,28/01/2024,,INTCARHOU1
B00040057,H1,IMZ,TRUCK,ALV,ROUSSEL - LIETAER,REYNOLDS CATERING SUPPLIES LTD,MEFSWLHOU0000000320354 24GB2EE7PS1VBRWAR3 4GB849450791000-B00048677 ,BEWEV,GBFOL,04/02/2024,,INTCARHOU1
B00041642,H1,IMZ,WHET 244,TAX,HUVERBA B.V,EVERTON  NURSERIES LTD,MEFSWLHOU0000000320354 24GB2EE7PS1VBRWAR3 4GB849450791000-B00048677 ,NLOPD,GBFXT,18/02/2024,,INTCARHOU1
B00041756,H1,IMZ,31MAR74 31MAZ74,TAX,AKSUN TARIMSAL URUNLER ITH IHR SAN V,BERRYWORLD LIMITED T/A PREPWORLD COURT LODGE FARM,MEFSWLHOU0000000320354 24GB2EE7PS1VBRWAR3 4GB849450791000-B00048677 ,TRMER,GBFXT,26/01/2024,T1,INTCARLON
B00041975,H1,IMD,,TAX,EXPORTADORA Y SERVICIOS EL PARQUE SPA,MEHADRIN TNUPORT EXPORT,MEFSWLHOU0000000312108 24GB0QOF9WKWW6SAR1 LGP19Y3XN00100 4GB849450791000-B00041975 ,CLVAP,GBLGP,25/01/2024,,RCSCUSRTM
B00042103,H1,IMZ,FLE112-02202024150902,TAX,Koornstra & Co. B.V,Koornstra & Co. B.V,MEFSWLTRN0000000312216 4GB849450791000-B00042103 ,FRCQF,GBFOL,21/02/2024,,INTCARLON
B00042104,H1,IMZ,FLE105-02212024124814,PHY,Koornstra & Co. B.V,Koornstra & Co. B.V,MEFSWLTRN0000000312217 4GB849450791000-B00042104 ,FRCQF,GBFOL,23/02/2024,,INTCARLON
B00042109,H1,IMZ,25-BLB-4-02292024125409,DOC,,VAN GEEST INTERNATIONAL B.V.,MEFSWLHOU0000000321344 24GB2LQTFIBCYCPAR5 4GB849450791000-B00048678 ,NLRTM,,01/03/2024,,INTCARLON
B00042110,H1,IMD,06bgf8-02292024125428,DOC,,Veenplant Ltd.,MEFSWLHOU0000000321366 24GB2LSGYJIA4Y3AR1 4GB849450791000-B00048729 ,FRCQF,GBFOL,01/03/2024,,RCSCUSRTM
B00042111,H1,IMD,29bsp4-02292024125444,ALV,,Veen LTD,MEFSWLHOU0000000321370 24GB2LSN1A7AJIUAR8 4GB849450791000-B00048730 ,NLRTM,GBHRW,01/03/2024,,FRELINRTM
B00042112,H1,IMD,25brk4-02292024125457,ALV,,Veen LTD,MEFSWLHOU0000000321389 24GB2LU9M7ZAS7MAR0 4GB849450791000-B00048731 ,FRCQF,GBFOL,01/03/2024,,FRELINRTM
B00042114,H1,IMD,OS77TN-02292024125512,TAX,,Acme ltd,MEFSWLHOU0000000321398 24GB2LUST7KR4AGAR7 4GB849450791000-B00048732 ,NLRTM,GBHRW,01/03/2024,,FRELINRTM
B00042115,H1,IMD,OR88DL-02292024125518,TAX,,Acme Ltd,MEFSWLHOU0000000321344 24GB2LQTFIBCYCPAR5 4GB849450791000-B00048678 ,NLRTM,GBHRW,01/03/2024,,FRELINRTM
B00042120,H1,IMD,OR88DL-02292024125518,CLE,,Lorem ,MEFSWLHOU0000000321366 24GB2LSGYJIA4Y3AR1 4GB849450791000-B00048729 ,NLRTM,GBIMM,01/03/2024,,FRELINRTM
B00042126,H1,IMD,OS-55-YY-02292024125729,CLE,,Lorem ,MEFSWLHOU0000000321370 24GB2LSN1A7AJIUAR8 4GB849450791000-B00048730 ,NLRTM,,01/03/2024,,RCSCUSRTM
